date,net_pnl,transaction_cost,portfolio_value,leaders_pnl,stock_dip_pnl,index_dip_pnl,weight_leaders,weight_stock_dip,weight_index_dip,invested_weight,cash_weight,n_leaders,n_dips,top_holding,in_regime,daily_return
2019-08-16,2448.5127859702325,18.65845080956696,150440.13152870987,1789.4067446470162,386.5997447015458,298.5833236966711,0.36653253610331726,0.125,0.12568735213055415,0.6172198882338714,0.3827801117661286,3,2,MSFT,True,0.016544942252618985
2019-08-19,1122.8146626781668,21.222116542874016,151562.94619138804,843.1749079996616,0.0,300.8618712213794,0.35046567896072034,0.0,0.12568735213055415,0.4761530310912745,0.5238469689087255,3,0,MSFT,True,0.007463531514288059
2019-08-20,-533.0643916009484,28.59382000025376,151029.88179978708,-287.45946150833174,-228.69250140060203,-0.0,0.34904863454736373,0.0625,0.0,0.41154863454736373,0.5884513654526362,3,1,AMD,True,-0.0035171155285396377
2019-08-21,1529.2739276411721,54.44214901297804,152559.15572742824,898.9927844693084,530.9501423939724,159.34946564320455,0.34875927045042127,0.24999999999999994,0.1193048150075999,0.7180640854580211,0.28193591454197886,3,7,MSFT,True,0.010125638114902689
2019-08-22,-122.07936942765467,21.804476066450647,152437.07635800057,88.78271914124994,-147.37630164749288,-58.56970857762199,0.34896203040572826,0.25,0.1193048150075999,0.7182668454133283,0.2817331545866717,3,5,MSFT,True,-0.0008002100486565967
2019-08-23,-4603.005961561221,0.0971147834895645,147834.07039643935,-2717.3062015373084,-1304.0098894139574,-575.9827186943925,0.3495991115267377,0.25,0.1193048150075999,0.7189039265343378,0.28109607346566223,3,5,MSFT,True,-0.030196104986630667
2019-08-26,1176.501890741124,58.95356966550517,149010.57228718046,512.4545605044424,467.38536440082197,249.51021635769655,0.3229604412274448,0.25,0.111643235210806,0.6846036764382509,0.31539632356174907,3,4,AMD,True,0.00795825947013538
2019-08-27,105.42197634668729,26.180132575631223,149115.99426352716,226.3805008127795,-94.77839189046098,-0.0,0.3214105549785494,0.1875,0.0,0.5089105549785494,0.4910894450214506,3,3,AMD,True,0.0007074798434000568
2019-08-28,583.7168487883704,9.368034897868261,149699.71111231553,366.20598381333645,226.8788998729022,0.0,0.3210867449363317,0.25,0.0,0.5710867449363317,0.4289132550636683,3,4,AMD,True,0.003914515352100924
2019-08-29,1172.5434407871817,36.0792633431944,150872.2545531027,1195.8449972897536,0.0,0.0,0.34805402012114883,0.0,0.0,0.34805402012114883,0.6519459798788512,3,0,MSFT,True,0.007832636630189987
2019-08-30,242.71483564580845,9.955960268515476,151114.96938874852,258.90216423018785,-17.941996445267506,-0.0,0.344564681670511,0.0625,0.0,0.407064681670511,0.592935318329489,3,1,MSFT,True,0.001608744009060856
2019-09-03,-1126.337843362989,0.2004257953559843,149988.63154538552,-1119.532281709212,-30.0085328959865,-0.0,0.34589099498127496,0.0625,0.0,0.40839099498127496,0.591609005018725,3,1,MSFT,True,-0.007453516007838016
2019-09-04,925.8404406831847,21.053418499148425,150914.4719860687,713.9951610768221,244.2085365662209,0.0,0.36125775666332827,0.0625,0.0,0.42375775666332827,0.5762422433366717,3,1,MSFT,True,0.0061727374344570365
2019-09-05,1093.5634367552254,9.44889878289581,152008.03542282392,1090.3989728755685,0.0,0.0,0.36136870880427374,0.0,0.0,0.36136870880427374,0.6386312911957263,3,0,MSFT,True,0.0072462463166300915
