date,net_pnl,transaction_cost,portfolio_value,invested_weight,cash_weight,corr_scale,regime,stop_active,in_regime,n_long,leader,daily_return
2018-08-23,-75.81266235742059,61.48746413062875,136562.99651681754,1.5,0.0,1.0,Normal,False,True,4,USMV,-0.000554839893679161
2018-08-24,1003.6032842222236,61.4533484325679,137566.59980103976,1.0499999999999998,0.0,0.7,Caution,False,True,4,USMV,0.007349013347833439
2018-08-27,1219.8313178601866,61.904969910467926,138786.43111889996,1.5,0.0,1.0,Normal,False,True,4,USMV,0.008867205554432602
2018-08-28,111.44588082294489,8.20451773393688,138897.8769997229,1.5,0.0,1.0,Normal,False,True,4,USMV,0.0008030027137701084
2018-08-29,1486.4233553676042,3.731072158536282,140384.30035509053,1.5000000000000002,0.0,1.0,Normal,False,True,4,USMV,0.010701555613917479
2018-08-30,-766.715017642056,5.536435734634734,139617.58533744846,1.5,0.0,1.0,Normal,False,True,4,USMV,-0.005461543888474092
2018-08-31,435.30476296838225,12.211313262070558,140052.89010041684,1.5,0.0,1.0,Normal,False,True,4,USMV,0.003117836208929364
2018-09-04,-204.10099392135768,3.8743671936847344,139848.78910649547,1.5,0.0,1.0,Normal,False,True,4,USMV,-0.0014573136889572136
2018-09-05,-1287.8570306724164,1.2135382943138728,138560.93207582305,1.5,0.0,1.0,Normal,False,True,4,USMV,-0.009208925146228527
2018-09-06,-172.65281190848523,16.947083155766467,138388.27926391456,1.4978703736270367,0.0,1.0,Normal,False,True,4,USMV,-0.0012460425122862663
2018-09-07,-757.5412598095672,3.877391936705531,137630.738004105,1.5,0.0,1.0,Normal,False,True,4,USMV,-0.005474027597126861
2018-09-10,595.3896645186555,4.331706033200657,138226.12766862364,1.5,0.0,1.0,Normal,False,True,4,USMV,0.004325993402003681
2018-09-11,745.1245145204553,4.988557598018504,138971.2521831441,1.5,0.0,1.0,Normal,False,True,4,USMV,0.005390619900072577
2018-09-12,57.5976511015983,5.37256030476922,139028.8498342457,1.5,0.0,1.0,Normal,False,True,4,USMV,0.00041445730823302143
2018-09-13,1414.35090431026,3.0082226313295464,140443.20073855596,1.5000000000000002,0.0,1.0,Normal,False,True,4,USMV,0.010173074912124288
2018-09-14,8.547983606043008,9.168240863162616,140451.748722162,1.5,0.0,1.0,Normal,False,True,4,USMV,6.086434630577545e-05
2018-09-17,-1513.0255576379295,8.865136887193056,138938.72316452407,1.5,0.0,1.0,Normal,False,True,4,USMV,-0.010772564751977258
2018-09-18,1182.910227503465,10.81973185297789,140121.63339202752,1.4770582136220851,0.0,1.0,Normal,False,True,4,USMV,0.008513898793374714
2018-09-19,-536.9684988979856,1.8133075862056094,139584.66489312955,1.4740442468044261,0.0,1.0,Normal,False,True,4,USMV,-0.003832159859253663
2018-09-20,1592.1431386826207,3.9044937110687554,141176.80803181216,1.5,0.0,1.0,Normal,False,True,4,USMV,0.011406289794811028
2018-09-21,31.457042946843295,3.75681289205081,141208.265074759,1.4941686840997954,0.0,1.0,Normal,False,True,4,USMV,0.0002228201882830139
2018-09-24,-597.8015336800543,0.8460114592471031,140610.46354107893,1.492660459942266,0.0,1.0,Normal,False,True,4,USMV,-0.0042334741055246585
2018-09-25,-24.309902429915667,9.198870440281059,140586.153638649,1.5,0.0,1.0,Normal,False,True,4,USMV,-0.0001728882888065695
2018-09-26,-384.2152091343209,3.679937229976717,140201.93842951467,1.5,0.0,1.0,Normal,False,True,4,USMV,-0.0027329519955562325
2018-09-27,708.5537078033368,2.8585364595260967,140910.492137318,1.5,0.0,1.0,Normal,False,True,4,USMV,0.005053808212213529
2018-09-28,445.17234014280905,2.1775311098857313,141355.6644774608,1.5000000000000002,0.0,1.0,Normal,False,True,4,QUAL,0.003159256158930921
2018-10-01,494.4852262669739,4.44998209500716,141850.1497037278,1.5,0.0,1.0,Normal,False,True,4,QUAL,0.003498163501936066
2018-10-02,-176.53517199007067,0.49254884700778734,141673.61453173772,1.4999999999999998,0.0,1.0,Normal,False,True,4,QUAL,-0.00124451875700369
2018-10-03,-110.74035654892508,0.9515298908121508,141562.8741751888,1.5,0.0,1.0,Normal,False,True,4,QUAL,-0.0007816582990061076
2018-10-04,-2451.800455894867,19.810344607589432,139111.07371929393,1.5,0.0,1.0,Normal,False,True,4,QUAL,-0.01731951594074504
2018-10-05,-1358.7965009428156,16.880414305069273,137752.2772183511,1.5,0.0,1.0,Normal,False,True,4,USMV,-0.009767709101898465
2018-10-08,-524.9982342377908,8.643614260969915,137227.27898411333,1.5,0.0,1.0,Normal,False,True,4,USMV,-0.0038111764454217783
2018-10-09,84.44308594582031,2.8219645704505676,137311.72207005916,1.4991790805987517,0.0,1.0,Normal,False,True,4,USMV,0.0006153520391204158
2018-10-10,-7216.81641291215,1.5576343866179794,130094.90565714701,1.5,0.0,1.0,Normal,False,True,4,USMV,-0.05255790477400019
2018-10-11,-1189.1308190258783,140.61520876734178,128905.77483812114,0.41913362743103816,0.5808663725689618,0.4,Crisis,False,True,4,USMV,-0.009140487192939912
2018-10-12,1638.2903560125062,35.326740744700494,130544.06519413365,0.6931845052064018,0.30681549479359815,0.7,Caution,False,True,4,USMV,0.012709208397140147
2018-10-15,-354.850636086882,44.549132687349434,130189.21455804678,0.35192707139583473,0.6480729286041653,0.4,Crisis,False,True,4,USMV,-0.0027182441082953816
2018-10-16,1842.0020077950176,34.42568100952177,132031.2165658418,0.6163551281007361,0.3836448718992639,0.7,Caution,False,True,4,USMV,0.014148652897615677
2018-10-17,-35.1975285646532,40.044522816800786,131996.01903727715,0.31305925718197325,0.6869407428180268,0.4,Crisis,False,True,4,USMV,-0.0002665848992393459
2018-10-18,-624.0379536869299,0.07154740855474584,131371.98108359022,0.3129718882251281,0.6870281117748719,0.4,Crisis,False,True,4,USMV,-0.004727702837088553
2018-10-19,-105.91394246977866,0.6662341242282148,131266.06714112044,0.3086949997127737,0.6913050002872263,0.4,Crisis,False,True,4,USMV,-0.0008062140921996681
2018-10-22,48.18993121435613,0.12244833429760979,131314.2570723348,0.30913662683445287,0.6908633731655471,0.4,Crisis,False,True,4,USMV,0.0003671164396397166
2018-10-23,-223.18843933478598,0.18532238006966434,131091.06863300002,0.308557622992648,0.691442377007352,0.4,Crisis,False,True,4,USMV,-0.0016996512359799749
2018-10-24,-1243.5139383598964,0.06320972179644005,129847.55469464012,0.30852057435690644,0.6914794256430936,0.4,Crisis,False,True,4,USMV,-0.009485878415113188
2018-10-25,685.1689650493057,4.4162526836678655,130532.72365968942,0.2745095165895617,0.7254904834104383,0.4,Crisis,False,True,4,USMV,0.005276718276756184
2018-10-26,-586.659055500632,2.205960561203677,129946.0646041888,0.257609841938209,0.742390158061791,0.4,Crisis,False,True,4,USMV,-0.00449434470570081
