date,net_pnl,transaction_cost,portfolio_value,invested_weight,cash_weight,regime_scale,stop_active,n_held,holdings,daily_return
2023-08-10,486.3557264120576,3.750638481382774,368409.87337393116,0.6328208512644977,0.3671791487355023,1.0,False,5,"META,NVDA,ORCL,NFLX,TSLA",0.0013218935541869869
2023-08-11,-4042.72008346881,7.474866631487057,364367.15329046233,0.6531103906382163,0.3468896093617837,1.0,False,5,"META,NVDA,ORCL,NFLX,TSLA",-0.010973430343886313
2023-08-14,5306.253655062742,2.8004969146664678,369673.4069455251,0.6454244702983167,0.35457552970168327,1.0,False,5,"META,NVDA,ORCL,NFLX,TSLA",0.014562930843639353
2023-08-15,-1619.6468143324507,5.772212968334036,368053.7601311926,0.6298101121652075,0.37018988783479245,1.0,False,5,"META,NVDA,ORCL,NFLX,TSLA",-0.004381291117786899
2023-08-16,-4976.432271416916,12.878343254053098,363077.3278597757,0.6648004984866586,0.33519950151334144,1.0,False,5,"META,NVDA,ORCL,NFLX,TSLA",-0.013520938543442862
2023-08-17,-5220.425005762084,3.8855161134323923,357856.9028540136,0.6540988770542869,0.34590112294571307,1.0,False,5,"META,NVDA,ORCL,NFLX,TSLA",-0.014378273180908358
2023-08-18,-252.55374873043183,55.101766706662985,357604.34910528315,0.80807597311478,0.19192402688522003,1.0,False,5,"META,NVDA,ORCL,NFLX,TSLA",-0.0007057394917248814
2023-08-21,9278.107862460243,7.580199433937075,366882.4569677434,0.829273141026475,0.17072685897352502,1.0,False,5,"META,NVDA,ORCL,NFLX,TSLA",0.02594517624205027
2023-08-22,-696.970419704835,31.317971612430643,366185.48654803855,0.7439107285762548,0.25608927142374516,1.0,False,5,"META,NVDA,ORCL,NFLX,TSLA",-0.0018997104017053428
2023-08-23,7054.521897763123,0.8469043821398625,373240.0084458017,0.7462235028757593,0.25377649712424066,1.0,False,5,"META,NVDA,ORCL,NFLX,TSLA",0.019264886667859967
2023-08-24,-8034.782516929596,16.109800672379762,365205.22592887207,0.7030614615408495,0.2969385384591505,1.0,False,5,"META,NVDA,ORCL,NFLX,TSLA",-0.021527120177676048
2023-08-25,2202.7076942134795,16.304085588648174,367407.93362308556,0.6584178353518213,0.3415821646481787,1.0,False,5,"META,NVDA,ORCL,NFLX,TSLA",0.00603142435492553
2023-08-28,2675.1327418718874,16.03395491336235,370083.0663649574,0.7020585775515017,0.2979414224484983,1.0,False,5,"META,NVDA,ORCL,NFLX,TSLA",0.007281096832863272
2023-08-29,9137.456795982016,2.2242780740393733,379220.52316093945,0.6960483645042342,0.30395163549576576,1.0,False,5,"META,NVDA,ORCL,NFLX,TSLA",0.024690286118011984
2023-08-30,637.4878579641093,24.96676385312495,379858.0110189036,0.6302113057790947,0.3697886942209053,1.0,False,5,"META,NVDA,ORCL,NFLX,TSLA",0.0016810478838286986
2023-08-31,64.57154873232692,12.342592095255553,379922.5825676359,0.6627039523397099,0.3372960476602901,1.0,False,5,"META,NVDA,ORCL,NFLX,TSLA",0.00016998864538653503
2023-09-01,1318.452875225406,182.6176426501789,381241.0354428613,0.7606436461297907,0.23935635387020926,1.0,False,5,"AAPL,META,NVDA,ADBE,NFLX",0.0034703198380967195
2023-09-05,2700.9655013093575,4.3093527605287525,383942.0009441707,0.7719471322708429,0.22805286772915712,1.0,False,5,"AAPL,META,NVDA,ADBE,NFLX",0.007084666261520964
2023-09-06,-4640.551079495216,0.2663812963599673,379301.44986467547,0.7712533261863175,0.22874667381368252,1.0,False,5,"AAPL,META,NVDA,ADBE,NFLX",-0.012086593985767143
2023-09-07,-3291.787585271684,5.89201113090717,376009.66227940377,0.7557194780214626,0.24428052197853745,1.0,False,5,"AAPL,META,NVDA,ADBE,NFLX",-0.008678552603598285
2023-09-08,-495.3345164976618,9.062762391193191,375514.3277629061,0.7798219501128815,0.22017804988711853,1.0,False,5,"AAPL,META,NVDA,ADBE,NFLX",-0.0013173451806926988
2023-09-11,3140.290221729304,0.2607560411934732,378654.6179846354,0.7791275530635149,0.2208724469364851,1.0,False,5,"AAPL,META,NVDA,ADBE,NFLX",0.008362637560162643
2023-09-12,-6341.689533919147,5.7874575181312835,372312.92845071625,0.7944118180460328,0.20558818195396722,1.0,False,5,"AAPL,META,NVDA,ADBE,NFLX",-0.01674795244191759
2023-09-13,-2826.029958487456,3.060299364965179,369486.8984922288,0.7861921213041018,0.21380787869589823,1.0,False,5,"AAPL,META,NVDA,ADBE,NFLX",-0.007590469582260405
2023-09-14,-73.70156285561038,0.4027663576764775,369413.1969293732,0.7851020519151192,0.21489794808488083,1.0,False,5,"AAPL,META,NVDA,ADBE,NFLX",-0.0001994700303484793
2023-09-15,-6538.365032576428,7.205907981519823,362874.83189679676,0.8046084150916829,0.1953915849083171,1.0,False,5,"AAPL,META,NVDA,ADBE,NFLX",-0.017699327167855553
2023-09-18,1541.95061457896,2.6886710522551143,364416.7825113757,0.7971990529207077,0.2028009470792923,1.0,False,5,"AAPL,META,NVDA,ADBE,NFLX",0.004249263048966421
2023-09-19,1691.8810951256075,0.40506995669231766,366108.66360650136,0.7960874961095731,0.20391250389042692,1.0,False,5,"AAPL,META,NVDA,ADBE,NFLX",0.004642709052711625
2023-09-20,-6368.649048863097,15.844752023901309,359740.01455763826,0.8393663190355758,0.1606336809644242,1.0,False,5,"AAPL,META,NVDA,ADBE,NFLX",-0.01739551581797094
2023-09-21,-4475.451533561362,13.944663222894398,355264.5630240769,0.8006031493613828,0.19939685063861723,1.0,False,5,"AAPL,META,NVDA,ADBE,NFLX",-0.012440794330496411
2023-09-22,682.6039578853247,20.55287423347799,355947.1669819623,0.8584554554245831,0.14154454457541688,1.0,False,5,"AAPL,META,NVDA,ADBE,NFLX",0.001921396133841425
2023-09-25,2713.0079694598867,33.00304864271986,358660.17495142214,0.9511744084156946,0.04882559158430544,1.0,False,5,"AAPL,META,NVDA,ADBE,NFLX",0.007621940054933403
2023-09-26,-4563.894546546817,0.33879675816810406,354096.28040487535,0.9521190261397392,0.0478809738602608,1.0,False,5,"AAPL,META,NVDA,ADBE,NFLX",-0.012724843362285658
2023-09-27,-1231.1198857140905,1.0758200843197314,352865.16051916126,0.9551572395970781,0.0448427604029219,1.0,False,5,"AAPL,META,NVDA,ADBE,NFLX",-0.0034767941767318827
2023-09-28,2352.3006711049647,15.82344784769933,355217.46119026624,1.0,0.0,1.0,False,5,"AAPL,META,NVDA,ADBE,NFLX",0.0066662876766980525
2023-09-29,438.2766553529229,0.0,355655.73784561915,1.0,0.0,1.0,False,5,"AAPL,META,NVDA,ADBE,NFLX",0.0012338263267924416
2023-10-02,5065.056239233518,185.35620072806535,360720.7940848527,0.9110145155804295,0.08898548441957055,1.0,False,5,"META,NVDA,ORCL,ADBE,NFLX",0.014241457961328115
2023-10-03,-6121.022108368075,14.29354325968152,354599.7719764846,0.8713895660514062,0.12861043394859384,1.0,False,5,"META,NVDA,ORCL,ADBE,NFLX",-0.01696886403207524
