date,net_pnl,transaction_cost,portfolio_value,invested_weight,net_weight,cash_weight,n_long,n_short,in_regime,holdings,shorts,daily_return
2017-11-30,98.74124166001852,0.0,102888.95472860553,1.0,0.5143529954751341,0.48564700452486587,13,4,True,"SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,LQD,HYG,TIP,GLD,DBC,USO","IEF,SLV,UUP,FXY",0.0009606093645535504
2017-12-01,53.45644775213637,6.362395867124968,102942.41117635767,0.9999999999999999,0.5223096773892609,0.47769032261073907,13,4,True,"SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,LQD,HYG,TIP,GLD,DBC,USO","IEF,SLV,UUP,FXY",0.0005195547752734068
2017-12-04,-145.55603030249046,0.0,102796.85514605517,0.9999999999999999,0.5223096773892609,0.47769032261073907,13,4,True,"SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,LQD,HYG,TIP,GLD,DBC,USO","IEF,SLV,UUP,FXY",-0.0014139559064060437
2017-12-05,-81.96139380839654,0.0,102714.89375224677,0.9999999999999999,0.5223096773892609,0.47769032261073907,13,4,True,"SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,LQD,HYG,TIP,GLD,DBC,USO","IEF,SLV,UUP,FXY",-0.0007973142144469758
2017-12-06,-169.8681474715096,0.0,102545.02560477526,0.9999999999999999,0.5223096773892609,0.47769032261073907,13,4,True,"SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,LQD,HYG,TIP,GLD,DBC,USO","IEF,SLV,UUP,FXY",-0.0016537830227546131
2017-12-07,108.97591647382464,0.0,102654.00152124908,0.9999999999999999,0.5223096773892609,0.47769032261073907,13,4,True,"SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,LQD,HYG,TIP,GLD,DBC,USO","IEF,SLV,UUP,FXY",0.0010627128505856056
2017-12-08,185.91291430164014,0.0,102839.91443555073,0.9999999999999999,0.5223096773892609,0.47769032261073907,13,4,True,"SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,LQD,HYG,TIP,GLD,DBC,USO","IEF,SLV,UUP,FXY",0.0018110634904296128
2017-12-11,110.97887017867724,0.0,102950.8933057294,0.9999999999999999,0.5223096773892609,0.47769032261073907,13,4,True,"SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,LQD,HYG,TIP,GLD,DBC,USO","IEF,SLV,UUP,FXY",0.001079141992559972
2017-12-12,-56.09666928173093,0.0,102894.79663644767,0.9999999999999999,0.5223096773892609,0.47769032261073907,13,4,True,"SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,LQD,HYG,TIP,GLD,DBC,USO","IEF,SLV,UUP,FXY",-0.0005448876399269578
2017-12-13,106.5672236088165,0.0,103001.36386005649,0.9999999999999999,0.5223096773892609,0.47769032261073907,13,4,True,"SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,LQD,HYG,TIP,GLD,DBC,USO","IEF,SLV,UUP,FXY",0.0010356910853844671
2017-12-14,-89.22384267281457,0.0,102912.14001738367,0.9999999999999999,0.5223096773892609,0.47769032261073907,13,4,True,"SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,LQD,HYG,TIP,GLD,DBC,USO","IEF,SLV,UUP,FXY",-0.0008662394295481287
2017-12-15,219.27476962433715,0.0,103131.414787008,0.9999999999999999,0.5223096773892609,0.47769032261073907,13,4,True,"SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,LQD,HYG,TIP,GLD,DBC,USO","IEF,SLV,UUP,FXY",0.0021306987648619276
2017-12-18,241.81256772209468,0.0,103373.2273547301,0.9999999999999999,0.5223096773892609,0.47769032261073907,13,4,True,"SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,LQD,HYG,TIP,GLD,DBC,USO","IEF,SLV,UUP,FXY",0.002344703291635218
2017-12-19,-267.64638966574955,0.0,103105.58096506435,0.9999999999999999,0.5223096773892609,0.47769032261073907,13,4,True,"SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,LQD,HYG,TIP,GLD,DBC,USO","IEF,SLV,UUP,FXY",-0.002589126764392374
2017-12-20,-67.50473530461724,0.0,103038.07622975974,0.9999999999999999,0.5223096773892609,0.47769032261073907,13,4,True,"SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,LQD,HYG,TIP,GLD,DBC,USO","IEF,SLV,UUP,FXY",-0.0006547146592141324
2017-12-21,161.06814493121226,0.0,103199.14437469095,0.9999999999999999,0.5223096773892609,0.47769032261073907,13,4,True,"SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,LQD,HYG,TIP,GLD,DBC,USO","IEF,SLV,UUP,FXY",0.0015631905294121952
2017-12-22,113.18926034646259,0.0,103312.33363503742,0.9999999999999999,0.5223096773892609,0.47769032261073907,13,4,True,"SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,LQD,HYG,TIP,GLD,DBC,USO","IEF,SLV,UUP,FXY",0.0010968042519373994
2017-12-26,133.7748407798705,0.0,103446.10847581728,0.9999999999999999,0.5223096773892609,0.47769032261073907,13,4,True,"SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,LQD,HYG,TIP,GLD,DBC,USO","IEF,SLV,UUP,FXY",0.001294858378211118
2017-12-27,195.22828382012736,0.0,103641.3367596374,0.9999999999999999,0.5223096773892609,0.47769032261073907,13,4,True,"SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,LQD,HYG,TIP,GLD,DBC,USO","IEF,SLV,UUP,FXY",0.0018872462840471772
2017-12-28,113.1388449381415,0.0,103754.47560457555,0.9999999999999999,0.5223096773892609,0.47769032261073907,13,4,True,"SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,LQD,HYG,TIP,GLD,DBC,USO","IEF,SLV,UUP,FXY",0.0010916382253977532
2017-12-29,24.788533937410385,0.0,103779.26413851295,0.9999999999999999,0.5223096773892609,0.47769032261073907,13,4,True,"SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,LQD,HYG,TIP,GLD,DBC,USO","IEF,SLV,UUP,FXY",0.0002389153218978557
2018-01-02,188.351042736383,42.19627993707281,103967.61518124933,1.0000000000000002,0.8614692518696425,0.13853074813035748,16,1,True,"SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,IEF,LQD,HYG,TIP,GLD,SLV,DBC,USO,FXY",UUP,0.0018149198137018306
2018-01-03,259.57941701688486,0.0,104227.19459826621,1.0000000000000002,0.8614692518696425,0.13853074813035748,16,1,True,"SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,IEF,LQD,HYG,TIP,GLD,SLV,DBC,USO,FXY",UUP,0.002496733396878957
2018-01-04,110.44792354600341,0.0,104337.64252181222,1.0000000000000002,0.8614692518696425,0.13853074813035748,16,1,True,"SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,IEF,LQD,HYG,TIP,GLD,SLV,DBC,USO,FXY",UUP,0.0010596843172428693
2018-01-05,78.18184355325022,0.0,104415.82436536546,1.0000000000000002,0.8614692518696425,0.13853074813035748,16,1,True,"SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,IEF,LQD,HYG,TIP,GLD,SLV,DBC,USO,FXY",UUP,0.000749315794986512
2018-01-08,-5.422068790458529,0.0,104410.402296575,1.0000000000000002,0.8614692518696425,0.13853074813035748,16,1,True,"SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,IEF,LQD,HYG,TIP,GLD,SLV,DBC,USO,FXY",UUP,-5.192765391082828e-05
2018-01-09,-248.57269967902363,0.0,104161.82959689599,1.0000000000000002,0.8614692518696425,0.13853074813035748,16,1,True,"SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,IEF,LQD,HYG,TIP,GLD,SLV,DBC,USO,FXY",UUP,-0.00238072734336335
2018-01-10,-9.83315957819851,0.0,104151.9964373178,1.0000000000000002,0.8614692518696425,0.13853074813035748,16,1,True,"SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,IEF,LQD,HYG,TIP,GLD,SLV,DBC,USO,FXY",UUP,-9.440271562291699e-05
2018-01-11,312.81652225954,0.0,104464.81295957734,1.0000000000000002,0.8614692518696425,0.13853074813035748,16,1,True,"SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,IEF,LQD,HYG,TIP,GLD,SLV,DBC,USO,FXY",UUP,0.0030034616038090408
2018-01-12,370.80693335766915,0.0,104835.619892935,1.0000000000000002,0.8614692518696425,0.13853074813035748,16,1,True,"SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,IEF,LQD,HYG,TIP,GLD,SLV,DBC,USO,FXY",UUP,0.003549586916899501
2018-01-16,-1.8444453156095137,0.0,104833.7754476194,1.0000000000000002,0.8614692518696425,0.13853074813035748,16,1,True,"SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,IEF,LQD,HYG,TIP,GLD,SLV,DBC,USO,FXY",UUP,-1.7593689220259124e-05
2018-01-17,67.27554409398758,0.0,104901.05099171339,1.0000000000000002,0.8614692518696425,0.13853074813035748,16,1,True,"SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,IEF,LQD,HYG,TIP,GLD,SLV,DBC,USO,FXY",UUP,0.0006417353930709294
2018-01-18,-247.66450876861464,0.0,104653.38648294477,1.0000000000000002,0.8614692518696425,0.13853074813035748,16,1,True,"SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,IEF,LQD,HYG,TIP,GLD,SLV,DBC,USO,FXY",UUP,-0.002360934484709584
2018-01-19,108.11619229258243,0.0,104761.50267523735,1.0000000000000002,0.8614692518696425,0.13853074813035748,16,1,True,"SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,IEF,LQD,HYG,TIP,GLD,SLV,DBC,USO,FXY",UUP,0.00103308833021091
2018-01-22,240.60758364069602,0.0,105002.11025887805,1.0000000000000002,0.8614692518696425,0.13853074813035748,16,1,True,"SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,IEF,LQD,HYG,TIP,GLD,SLV,DBC,USO,FXY",UUP,0.0022967175679656305
2018-01-23,433.30572047836563,0.0,105435.41597935642,1.0000000000000002,0.8614692518696425,0.13853074813035748,16,1,True,"SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,IEF,LQD,HYG,TIP,GLD,SLV,DBC,USO,FXY",UUP,0.004126638211461366
2018-01-24,225.53606241090637,0.0,105660.95204176732,1.0000000000000002,0.8614692518696425,0.13853074813035748,16,1,True,"SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,IEF,LQD,HYG,TIP,GLD,SLV,DBC,USO,FXY",UUP,0.002139092071823996
