date,portfolio_value,daily_return
2022-01-31,272408.0821769285,0.014689846341926938
2022-02-01,273032.64421064843,0.0022927441386053626
2022-02-02,275996.192383568,0.010854189913763967
2022-02-03,272571.8244635061,-0.012407301312703733
2022-02-04,273587.3267763373,0.0037256320048117963
2022-02-07,272685.01666301297,-0.0032980698483229265
2022-02-08,273920.74887875764,0.004531720264160377
2022-02-09,275940.983787508,0.007375253306000973
2022-02-10,273695.1445556352,-0.008138838968560713
2022-02-11,269032.0289312476,-0.01703762641444939
2022-02-14,269620.67265186517,0.00218800610082015
2022-02-15,274073.0379938281,0.01651344200788296
2022-02-16,273883.01929389115,-0.0006933140936732363
2022-02-17,271361.0029156039,-0.009208370729917204
2022-02-18,270736.4351480168,-0.002301612099294137
2022-02-22,270089.5187012011,-0.0023894694722638166
2022-02-23,266926.4616879079,-0.011711143136925783
2022-02-24,270054.72169207863,0.011719557455597274
2022-02-25,270957.337845568,0.0033423453877565734
2022-02-28,271336.06479692756,0.0013977364642376866
2022-03-01,269755.6817996368,-0.00582444872735044
2022-03-02,271239.3805536342,0.0055001575651683066
2022-03-03,270400.480571747,-0.0030928399120175865
2022-03-04,269154.5170749303,-0.004607844979351294
2022-03-07,265613.32529615145,-0.013156724313094115
2022-03-08,265618.9228711208,2.1074149661348685e-05
2022-03-09,269398.5957543069,0.014229682291950319
2022-03-10,268273.96825365606,-0.004174585607998105
2022-03-11,266953.71023304225,-0.00492130499730592
2022-03-14,264394.6593240704,-0.00958612227842015
2022-03-15,267548.34376303083,0.01192794304931466
2022-03-16,270047.80123873195,0.009342077923363723
2022-03-17,270490.2144546969,0.0016382774232397423
2022-03-18,272120.56580445915,0.0060273949394029636
2022-03-21,272425.08449790656,0.0011190579901492193
2022-03-22,273250.3071357497,0.0030291727333555674
2022-03-23,272189.25912129186,-0.0038830624769645716
2022-03-24,276332.9875766068,0.01522370305386822
2022-03-25,276055.42440199084,-0.0010044518283905957
2022-03-28,276642.4080269264,0.002126325270394913
2022-03-29,277610.02382844983,0.003497713197425867
2022-03-30,276225.53579925344,-0.004987168727206837
2022-03-31,274150.7402664552,-0.007511237246023761
2022-04-01,273232.706311913,-0.003348646637430175
2022-04-04,275960.92489877855,0.0099849634536473
2022-04-05,273313.5106289374,-0.009593438892887551
2022-04-06,267949.6805045425,-0.019625192007712622
2022-04-07,267780.42034883884,-0.0006316863501569792
2022-04-08,265004.81560927944,-0.010365226613445522
2022-04-11,262805.26722304773,-0.008300031760459348
2022-04-12,262889.9902631138,0.0003223795358491266
2022-04-13,265143.71467515075,0.008572880275058425
2022-04-14,262759.1952140096,-0.008993309398499627
2022-04-18,264086.11292621575,0.005049938256681763
2022-04-19,265771.08108809043,0.006380373974247844
2022-04-20,264582.638984819,-0.0044716757685066
2022-04-21,262887.3870691056,-0.006407268149633549
2022-04-22,262144.5587845234,-0.0028256520514882144
2022-04-25,262247.56741288747,0.00039294589535510127
2022-04-26,261026.8613787535,-0.004654784965887115
2022-04-27,260925.55202571873,-0.00038811849669284637
2022-04-28,261796.66286067292,0.0033385416958640057
2022-04-29,261231.63179287087,-0.0021582821630646842
2022-05-02,261977.30971645116,0.0028544702586841275
2022-05-03,262079.59080720524,0.0003904196545296834
2022-05-04,262651.35234241356,0.002181633195653676
2022-05-05,261855.0287087583,-0.0030318657282872863
2022-05-06,261838.1170223402,-6.45841575069861e-05
2022-05-09,261183.2505797136,-0.002501035563782006
2022-05-10,261447.28469905583,0.0010109152051527293
2022-05-11,260825.78739274596,-0.0023771419428787466
2022-05-12,260810.13513578346,-6.0010388999276465e-05
2022-05-13,261276.00416025013,0.0017862381928681614
2022-05-16,260937.41284502385,-0.0012959143198569834
2022-05-17,261387.97445085453,0.0017267037368009497
2022-05-18,260687.5096948407,-0.0026797895254569992
2022-05-19,260505.70694147292,-0.0006973972538254491
2022-05-20,260268.72841836742,-0.0009096864935812521
2022-05-23,260836.32150720715,0.0021807963341924363
2022-05-24,259193.0640479089,-0.006299956424024478
2022-05-25,260127.49635842085,0.0036051593970864992
2022-05-26,261969.82570177794,0.007082409084576691
2022-05-27,263997.62280091736,0.007740575059388188
2022-05-31,264390.7972555718,0.0014893105872810786
2022-06-01,263924.92444012663,-0.0017620613889780534
2022-06-02,264588.53132156027,0.002514377461095618
2022-06-03,262742.1957617018,-0.006978139039649389
2022-06-06,262812.6838895878,0.0002682786740122456
2022-06-07,263942.94420636,0.004300630776431724
2022-06-08,263404.6428291039,-0.00203946113761333
2022-06-09,261791.9224450348,-0.0061225966510979335
2022-06-10,259652.0718002536,-0.008173860464432359
2022-06-13,257146.88536510826,-0.009648243581405036
2022-06-14,257466.7304712473,0.0012438225945645698
2022-06-15,258476.26701621077,0.003921036877718942
2022-06-16,255523.07352860513,-0.0114253951501877
2022-06-17,255957.19613451368,0.0016989565752854041
2022-06-21,257728.64289649215,0.006920871101617765
2022-06-22,257097.7133368813,-0.0024480381866761602
2022-06-23,257831.25211725198,0.002853151709713897
2022-06-24,259435.36243402737,0.006221551125407787
2022-06-27,259221.09677054058,-0.0008258922819023296
2022-06-28,257760.1093539501,-0.005636066797000461
2022-06-29,257652.85612280815,-0.0004160970889203197
2022-06-30,256615.1768782058,-0.004027431561277828
2022-07-01,256585.08633832858,-0.00011725939300732957
2022-07-05,256805.70459639825,0.000859824946251031
2022-07-06,257157.8339304039,0.0013711896881694052
2022-07-07,258040.59260277174,0.0034327504586415536
2022-07-08,258088.42033193682,0.00018534963310479213
2022-07-11,257393.7081529639,-0.002691760359025186
2022-07-12,257422.2549765849,0.0001109072316718418
2022-07-13,257393.56690290637,-0.0001114436422022802
2022-07-14,257832.42678413322,0.0017050149563078154
2022-07-15,258295.41034185415,0.0017956762207749222
2022-07-18,257869.44030114106,-0.001649158380899296
2022-07-19,258852.6765980683,0.003812922910830352
2022-07-20,259150.40829447538,0.0011501974803582726
2022-07-21,259627.07366116688,0.0018393386675659151
2022-07-22,259372.3638737977,-0.0009810601944448827
2022-07-25,259242.4143164828,-0.000501015433464258
2022-07-26,259041.46210025204,-0.0007751517696693577
2022-07-27,260094.47350814898,0.004065030359847954
2022-07-28,260354.2435323735,0.000998752571405248
2022-07-29,260963.2395770735,0.002339105506548922
2022-08-01,260931.22842499884,-0.0001226653689865298
2022-08-02,260874.16579166954,-0.0002186884018203772
2022-08-03,261580.30311349648,0.0027068119975930394
2022-08-04,261750.32053236265,0.0006499626189071517
2022-08-05,261233.4524277241,-0.0019746608278732314
2022-08-08,261216.99545992241,-6.29971684282804e-05
2022-08-09,260797.9405961974,-0.0016042404246598974
2022-08-10,261630.9306861717,0.0031940056277668383
2022-08-11,261303.41605241917,-0.0012518192435946318
2022-08-12,262086.22005384037,0.002995766428343094
2022-08-15,262404.9423539224,0.0012160971302366264
2022-08-16,262214.4381338694,-0.0007259932619565479
2022-08-17,262022.98951171694,-0.0007301223514424304
2022-08-18,262400.08146304754,0.00143915597647859
2022-08-19,261957.69600332069,-0.0016859196737297744
2022-08-22,261108.33536231346,-0.003242358037064297
2022-08-23,261215.49314197854,0.0004103958593140167
2022-08-24,261363.87306791992,0.0005680364673497085
2022-08-25,261721.78637356614,0.00136940619009418
2022-08-26,260817.39228119262,-0.0034555552478258145
2022-08-29,260533.3395319553,-0.0010890866853352499
2022-08-30,260196.59396516264,-0.001292523895013331
2022-08-31,260046.94687946324,-0.0005751308401809041
2022-09-01,260311.8800343587,0.0010187897149904757
2022-09-02,258679.117483128,-0.0062723320618912615
2022-09-06,258987.98703333462,0.0011940258386986535
2022-09-07,260829.55695749787,0.007110638393919899
2022-09-08,261301.2724857602,0.0018085202220359253
2022-09-09,263630.53359932045,0.008914082550773639
2022-09-12,265998.3402243527,0.008981534091309085
2022-09-13,261689.60811179725,-0.016198342098380558
2022-09-14,263646.4061565519,0.007477553498871359
2022-09-15,263049.23896049306,-0.002265030670299595
2022-09-16,262536.8303904433,-0.001947956861896527
2022-09-19,264361.6907857968,0.006950873874113306
