date,holding,net_pnl,portfolio_value,stop_active,day_ret,in_regime,daily_return
2018-03-02,SOXX,2378.597475546288,142440.4319829759,False,0.016982481229889324,True,0.016982481229889324
2018-03-05,SOXX,1276.931276345879,143717.36325932178,False,0.008964668658815178,True,0.008964668658815178
2018-03-06,SOXX,2178.2945302371227,145895.6577895589,False,0.015156794425087217,True,0.015156794425087217
2018-03-07,SOXX,450.6816269456053,146346.33941650452,False,0.003089068131113759,True,0.003089068131113759
2018-03-08,SOXX,150.2272089818456,146496.56662548636,False,0.0010265183917876897,True,0.0010265183917876897
2018-03-09,SOXX,3029.582047801044,149526.14867328742,False,0.02068022560246119,True,0.02068022560246119
2018-03-12,SOXX,1577.3856943096373,151103.53436759705,False,0.01054922973878103,True,0.01054922973878103
2018-03-13,SOXX,-2328.521739218969,148775.01262837808,False,-0.0154101077050538,True,-0.0154101077050538
2018-03-14,SOXX,0.0,148775.01262837808,False,0.0,True,0.0
2018-03-15,SOXX,-125.18934081824317,148649.82328755985,False,-0.0008414675193538779,True,-0.0008414675193538779
2018-03-16,SOXX,-50.07573632728715,148599.74755123255,False,-0.000336870473302997,True,-0.00033687047330310804
2018-03-19,SOXX,-2829.279102491876,145770.46844874066,False,-0.019039595619208094,True,-0.019039595619208205
2018-03-20,SOXX,1051.5904628730902,146822.05891161374,False,0.007214015802129881,True,0.007214015802129881
2018-03-21,SOXX,275.4165498001055,147097.47546141385,False,0.0018758526603002146,True,0.0018758526603002146
2018-03-22,SOXX,-3855.831697201317,143241.64376421252,False,-0.026212765957446815,True,-0.026212765957446926
2018-03-23,SOXX,-4782.23281925618,138459.41094495635,False,-0.033385771718231094,True,-0.03338577171823098
2018-03-26,SOXX,5783.747545801974,144243.15849075833,False,0.04177215189873418,True,0.04177215189873418
2018-03-27,SOXX,-5308.028050692717,138935.1304400656,False,-0.03679916681131745,True,-0.03679916681131745
2018-03-28,SOXX,-3004.5441796373975,135930.58626042822,False,-0.021625518111371478,True,-0.021625518111371478
2018-03-29,SOXX,2929.430575146456,138860.01683557467,False,0.021550930189721873,True,0.021550930189721873
2018-04-02,SOXX,-5282.990182529081,133577.02665304558,False,-0.03804543815362427,True,-0.03804543815362427
2018-04-03,SOXX,2528.824684528132,136105.85133757372,False,0.01893158388003746,True,0.01893158388003746
2018-04-04,SOXX,1752.6507714551576,137858.5021090289,False,0.012877115526122251,True,0.012877115526122251
2018-04-05,SOXX,-1427.1584853277657,136431.34362370113,False,-0.010352342898656053,True,-0.010352342898656053
2018-04-06,SOXX,-4131.2482470014065,132300.09537669973,False,-0.030280785465222948,True,-0.030280785465222948
2018-04-09,SOXX,851.2875175639074,133151.38289426363,False,0.006434519303557762,True,0.006434519303557762
2018-04-10,SOXX,4256.437587819637,137407.82048208328,False,0.03196690485144793,True,0.03196690485144793
2018-04-11,SOXX,50.075736327291516,137457.89621841058,False,0.00036443148688047877,True,0.00036443148688047877
2018-04-12,SOXX,2578.900420855428,140036.79663926602,False,0.01876138433515484,True,0.01876138433515484
2018-04-13,SOXX,-1026.5525947094407,139010.24404455657,False,-0.007330591811192555,True,-0.007330591811192555
2018-04-16,SOXX,250.3786816364497,139260.62272619302,False,0.0018011527377521652,True,0.0018011527377521652
2018-04-17,SOXX,2628.9761571827285,141889.59888337576,False,0.018878101402373337,True,0.018878101402373337
2018-04-18,SOXX,-1402.1206171641277,140487.47826621163,False,-0.009881771660490646,True,-0.009881771660490646
2018-04-19,SOXX,-6059.164095602079,134428.31417060955,False,-0.043129566922117335,True,-0.043129566922117335
2018-04-20,SOXX,-1602.423562473273,132825.89060813628,False,-0.011920283106723772,True,-0.011920283106723772
2018-04-23,SOXX,-1752.6507714551294,131073.23983668114,False,-0.013195098963242113,True,-0.013195098963242224
2018-04-24,SOXX,-1051.5904628730873,130021.64937380805,False,-0.008022922636103158,True,-0.008022922636103158
2018-04-25,SOXX,-175.26507714551613,129846.38429666252,False,-0.0013479684190256247,True,-0.0013479684190256247
2018-04-26,SOXX,2654.0140253463737,132500.3983220089,False,0.020439645198611744,True,0.020439645198611744
2018-04-27,SOXX,-926.4011220548769,131573.99719995403,False,-0.006991685563114247,True,-0.006991685563114247
2018-04-30,SOXX,-1452.1963534913998,130121.80084646263,False,-0.011037107516650768,True,-0.011037107516650768
2018-05-01,SOXX,2153.2566620734588,132275.0575085361,False,0.016548008466422903,True,0.016548008466422903
2018-05-02,SOXX,-600.9088359274638,131674.14867260863,False,-0.004542873367404776,True,-0.004542873367404776
2018-05-03,SOXX,801.211781236617,132475.36045384523,False,0.006084806997527892,True,0.006084806997527892
2018-05-04,SOXX,3104.695652291988,135580.05610613723,False,0.02343602343602358,True,0.02343602343602358
2018-05-07,SOXX,1301.9691445095414,136882.02525064678,False,0.009602954755309367,True,0.009602954755309367
2018-05-08,SOXX,826.2496494002726,137708.27490004705,False,0.006036217303822866,True,0.006036217303822866
2018-05-09,SOXX,2078.1430575825216,139786.41795762957,False,0.015090909090909044,True,0.015090909090909044
2018-05-10,SOXX,2553.862552691778,142340.28051032135,False,0.018269747447608786,True,0.018269747447608786
2018-05-11,SOXX,-1026.5525947094497,141313.7279156119,False,-0.0072119613016711215,True,-0.0072119613016711215
2018-05-14,SOXX,1727.612903291506,143041.3408189034,False,0.012225372076541507,True,0.012225372076541507
2018-05-15,SOXX,-1552.3478261459927,141488.9929927574,False,-0.010852441799404922,True,-0.010852441799404922
2018-05-16,SOXX,1802.7265077824181,143291.71950053982,False,0.01274110776853643,True,0.01274110776853643
2018-05-17,SOXX,-400.60589061830717,142891.1136099215,False,-0.0027957365018346225,True,-0.0027957365018347335
2018-05-18,SOXX,-2053.105189418876,140838.00842050262,False,-0.014368319607499513,True,-0.014368319607499624
2018-05-21,SOXX,1402.1206171641065,142240.12903766672,False,0.009955555555555495,True,0.009955555555555495
2018-05-22,SOXX,801.2117812366514,143041.34081890338,False,0.005632811124802073,True,0.005632811124802073
2018-05-23,SOXX,776.1739130729644,143817.51473197635,False,0.005426220899702239,True,0.005426220899702239
2018-05-24,SOXX,575.8709677638321,144393.38569974017,False,0.0040041782729804964,True,0.0040041782729804964
2018-05-25,SOXX,1176.7798036912961,145570.16550343146,False,0.008149817929599346,True,0.008149817929599346
2018-05-29,SOXX,-901.3632538912108,144668.80224954025,False,-0.006191950464396245,True,-0.006191950464396245
2018-05-30,SOXX,951.4389902184832,145620.24123975873,False,0.006576670128071838,True,0.006576670128071838
