date,equity,spot,vix,realised_vol,vrp,in_position,book_value,delta,gamma,vega,theta,hedge_shares,delta_pnl,gamma_pnl,vega_pnl,theta_pnl,residual_pnl,interest,costs,action,portfolio_value,daily_return,in_regime
2021-08-02,189879.68547371452,408.96,19.46,10.433326850788628,9.026673149211373,True,8206.785193082289,0.0,-34.208142985615716,-884.584107394189,297.19022702201283,-27.256333610637483,2.2915003228263595e-13,-12.735648224135023,-1128.4497494081568,790.8397833966983,74.60963279357543,0.0,1.1146750193406303,,189879.68547371452,-0.0014559092319174072,True
2021-08-03,191193.27354018224,412.29,18.04,10.599430033394198,7.440569966605802,True,6797.716350839647,0.0,-35.50261097367336,-835.1559818799899,267.7596811449684,87.15791004034092,0.0,-189.6653383766017,1256.1094324997498,297.19022702201283,-45.329069825942724,0.0,4.71718485148619,,191193.27354018224,0.006918002119028932,True
2021-08-04,191443.10995606464,410.26,17.97,10.453352790152833,7.516647209847166,True,6367.974477878988,0.0,-36.15888099454033,-809.0070572519207,269.0055716588627,14.645364426331597,-0.0,-73.15135478070741,58.46091873159953,267.7596811449684,-0.25792951709632916,0.0,2.9748996963603465,,191443.10995606464,0.0013067217860565083,True
2021-08-05,192123.1760940009,412.86,17.28,10.430192032497354,6.849807967502647,True,5722.07490911257,0.0,-36.63609531063799,-768.668383606227,253.82607791640254,109.38397651313825,0.0,-122.21701776154846,558.2148695038235,269.0055716588627,-21.02590712625704,0.0,3.9113783386159,,192123.1760940009,0.0035523145131330924,True
2021-08-06,193215.24523607932,413.54,16.15,10.132706528174854,6.017293471825145,True,4728.213738395428,0.0,-37.577134680237144,-710.8506732115453,227.60148632608897,136.02063358510398,0.0,-8.470265235819674,868.5952734750385,253.82607791640254,-45.70881140954452,24.92839964890634,1.101532316554071,,193215.24523607932,0.005684213452436859,True
2021-08-09,193534.5324570824,413.21,16.72,9.828922574971168,6.891077425028831,True,4363.600200166752,0.0,-37.92856542141771,-652.64069816119,246.15830875785238,125.38419829730329,-0.0,-2.04607498333942,-405.184883730581,682.8044589782669,44.15322888123933,0.0,0.4395081425272125,,193534.5324570824,0.0016524949706371306,True
2021-08-10,193706.26092244836,413.72,16.79,9.541571455479122,7.248428544520877,True,4229.883370069445,0.0,-37.99554313489483,-628.235994436715,249.00304727414846,145.3502988233735,0.0,-4.9326099330562965,-45.684848871283485,246.15830875785238,2.121921275425194,-25.1082683519996,0.8260375109645767,,193706.26092244836,0.0008873272546543465,True
2021-08-11,194364.4343712705,414.75,16.06,9.301411158250234,6.758588841749765,True,3719.7692313654984,0.0,-38.27919962123443,-579.4531259700187,229.915122759804,185.169410815203,0.0,-20.154735855903894,458.6122759388022,249.00304727414846,-27.635640865029472,0.0,1.6514976698611292,,194364.4343712705,0.003397791303636044,True
2021-08-12,194819.5161155217,415.99,15.59,9.092678056369179,6.497321943630821,True,3492.3220294389894,0.0,-38.38262544087225,-539.0230176857314,217.69444596774727,232.65918427588244,0.0,-29.429048668805464,272.34296920590816,229.915122759804,-15.771771959544253,0.0,1.9755270861908036,,194819.5161155217,0.002341383832506594,True
2021-08-13,195122.11094372976,416.75,15.45,8.844255944535002,6.6057440554649975,True,3390.6195209004354,0.0,-38.49000499530132,-509.3394428040234,214.70854736273137,261.6193764041944,0.0,-11.08490222732364,75.4632224760027,217.69444596774727,-3.5492776282038108,25.27825562678651,1.2069160069474003,,195122.11094372976,0.001553205932554702,True
